,Region,Country of Residence,Age Group,No of Arrivals,Year
1,South-East Asia,Brunai,Total,17433,2015
2,South-East Asia,Brunai,Under 25,3736,2015
3,South-East Asia,Brunai,25 - 34,4549,2015
4,South-East Asia,Brunai,35 - 44,4028,2015
5,South-East Asia,Brunai,45 - 54,2735,2015
6,South-East Asia,Brunai,55 - 64,1777,2015
7,South-East Asia,Brunai,65 and Over,608,2015
8,South-East Asia,Brunai,Total,17994,2016
9,South-East Asia,Brunai,Under 25,4526,2016
10,South-East Asia,Brunai,25 - 34,5082,2016
11,South-East Asia,Brunai,35 - 44,3289,2016
12,South-East Asia,Brunai,45 - 54,2679,2016
13,South-East Asia,Brunai,55 - 64,1683,2016
14,South-East Asia,Brunai,65 and Over,735,2016
15,South-East Asia,Brunai,Total,18249,2017
16,South-East Asia,Brunai,Under 25,4179,2017
17,South-East Asia,Brunai,25 - 34,5085,2017
18,South-East Asia,Brunai,35 - 44,3435,2017
19,South-East Asia,Brunai,45 - 54,2812,2017
20,South-East Asia,Brunai,55 - 64,1939,2017
21,South-East Asia,Brunai,65 and Over,799,2017
22,South-East Asia,Brunai,Total,18460,2018
23,South-East Asia,Brunai,Under 25,3719,2018
24,South-East Asia,Brunai,25 - 34,4922,2018
25,South-East Asia,Brunai,35 - 44,3541,2018
26,South-East Asia,Brunai,45 - 54,3305,2018
27,South-East Asia,Brunai,55 - 64,2094,2018
28,South-East Asia,Brunai,65 and Over,879,2018
29,South-East Asia,Brunai,Total,19858,2019
30,South-East Asia,Brunai,Under 25,4171,2019
31,South-East Asia,Brunai,25 - 34,5270,2019
32,South-East Asia,Brunai,35 - 44,4008,2019
33,South-East Asia,Brunai,45 - 54,3111,2019
34,South-East Asia,Brunai,55 - 64,2271,2019
35,South-East Asia,Brunai,65 and Over,1027,2019
36,South-East Asia,Brunai,Total,2444,2020
37,South-East Asia,Brunai,Under 25,373,2020
38,South-East Asia,Brunai,25 - 34,757,2020
39,South-East Asia,Brunai,35 - 44,459,2020
40,South-East Asia,Brunai,45 - 54,378,2020
41,South-East Asia,Brunai,55 - 64,351,2020
42,South-East Asia,Brunai,65 and Over,126,2020
43,South-East Asia,Cambodia,Total,544818,2015
44,South-East Asia,Cambodia,Under 25,105324,2015
45,South-East Asia,Cambodia,25 - 34,137266,2015
46,South-East Asia,Cambodia,35 - 44,121159,2015
47,South-East Asia,Cambodia,45 - 54,86113,2015
48,South-East Asia,Cambodia,55 - 64,62795,2015
49,South-East Asia,Cambodia,65 and Over,32161,2015
50,South-East Asia,Cambodia,Total,684836,2016
51,South-East Asia,Cambodia,Under 25,145984,2016
52,South-East Asia,Cambodia,25 - 34,134056,2016
53,South-East Asia,Cambodia,35 - 44,89952,2016
54,South-East Asia,Cambodia,45 - 54,107272,2016
55,South-East Asia,Cambodia,55 - 64,110742,2016
56,South-East Asia,Cambodia,65 and Over,96830,2016
57,South-East Asia,Cambodia,Total,851879,2017
58,South-East Asia,Cambodia,Under 25,144396,2017
59,South-East Asia,Cambodia,25 - 34,247505,2017
60,South-East Asia,Cambodia,35 - 44,162140,2017
61,South-East Asia,Cambodia,45 - 54,127164,2017
62,South-East Asia,Cambodia,55 - 64,85142,2017
63,South-East Asia,Cambodia,65 and Over,85532,2017
64,South-East Asia,Cambodia,Total,950980,2018
65,South-East Asia,Cambodia,Under 25,144081,2018
66,South-East Asia,Cambodia,25 - 34,273780,2018
67,South-East Asia,Cambodia,35 - 44,199314,2018
68,South-East Asia,Cambodia,45 - 54,132792,2018
69,South-East Asia,Cambodia,55 - 64,101831,2018
70,South-East Asia,Cambodia,65 and Over,99182,2018
71,South-East Asia,Cambodia,Total,925437,2019
72,South-East Asia,Cambodia,Under 25,171083,2019
73,South-East Asia,Cambodia,25 - 34,269295,2019
74,South-East Asia,Cambodia,35 - 44,197953,2019
75,South-East Asia,Cambodia,45 - 54,122671,2019
76,South-East Asia,Cambodia,55 - 64,93397,2019
77,South-East Asia,Cambodia,65 and Over,71038,2019
78,South-East Asia,Cambodia,Total,164270,2020
79,South-East Asia,Cambodia,Under 25,27379,2020
80,South-East Asia,Cambodia,25 - 34,56872,2020
81,South-East Asia,Cambodia,35 - 44,35932,2020
82,South-East Asia,Cambodia,45 - 54,19774,2020
83,South-East Asia,Cambodia,55 - 64,14114,2020
84,South-East Asia,Cambodia,65 and Over,10199,2020
85,South-East Asia,Indonesia,Total,470820,2015
86,South-East Asia,Indonesia,Under 25,69329,2015
87,South-East Asia,Indonesia,25 - 34,110286,2015
88,South-East Asia,Indonesia,35 - 44,118180,2015
89,South-East Asia,Indonesia,45 - 54,96334,2015
90,South-East Asia,Indonesia,55 - 64,52945,2015
91,South-East Asia,Indonesia,65 and Over,23746,2015
92,South-East Asia,Indonesia,Total,558499,2016
93,South-East Asia,Indonesia,Under 25,117563,2016
94,South-East Asia,Indonesia,25 - 34,144510,2016
95,South-East Asia,Indonesia,35 - 44,105548,2016
96,South-East Asia,Indonesia,45 - 54,98740,2016
97,South-East Asia,Indonesia,55 - 64,61394,2016
98,South-East Asia,Indonesia,65 and Over,30744,2016
99,South-East Asia,Indonesia,Total,594060,2017
100,South-East Asia,Indonesia,Under 25,117948,2017
101,South-East Asia,Indonesia,25 - 34,159642,2017
102,South-East Asia,Indonesia,35 - 44,122269,2017
103,South-East Asia,Indonesia,45 - 54,99670,2017
104,South-East Asia,Indonesia,55 - 64,60949,2017
105,South-East Asia,Indonesia,65 and Over,33582,2017
106,South-East Asia,Indonesia,Total,644479,2018
107,South-East Asia,Indonesia,Under 25,121938,2018
108,South-East Asia,Indonesia,25 - 34,170612,2018
109,South-East Asia,Indonesia,35 - 44,132406,2018
110,South-East Asia,Indonesia,45 - 54,111565,2018
111,South-East Asia,Indonesia,55 - 64,67163,2018
112,South-East Asia,Indonesia,65 and Over,40795,2018
113,South-East Asia,Indonesia,Total,706908,2019
114,South-East Asia,Indonesia,Under 25,138057,2019
115,South-East Asia,Indonesia,25 - 34,189289,2019
116,South-East Asia,Indonesia,35 - 44,144062,2019
117,South-East Asia,Indonesia,45 - 54,111423,2019
118,South-East Asia,Indonesia,55 - 64,78857,2019
119,South-East Asia,Indonesia,65 and Over,45220,2019
120,South-East Asia,Indonesia,Total,96993,2020
121,South-East Asia,Indonesia,Under 25,19476,2020
122,South-East Asia,Indonesia,25 - 34,29007,2020
123,South-East Asia,Indonesia,35 - 44,20595,2020
124,South-East Asia,Indonesia,45 - 54,15232,2020
125,South-East Asia,Indonesia,55 - 64,8812,2020
126,South-East Asia,Indonesia,65 and Over,3871,2020
127,South-East Asia,Laos,Total,1230521,2015
128,South-East Asia,Laos,Under 25,207544,2015
129,South-East Asia,Laos,25 - 34,282221,2015
130,South-East Asia,Laos,35 - 44,260033,2015
131,South-East Asia,Laos,45 - 54,240817,2015
132,South-East Asia,Laos,55 - 64,160317,2015
133,South-East Asia,Laos,65 and Over,79589,2015
134,South-East Asia,Laos,Total,1414916,2016
135,South-East Asia,Laos,Under 25,312928,2016
136,South-East Asia,Laos,25 - 34,212504,2016
137,South-East Asia,Laos,35 - 44,194670,2016
138,South-East Asia,Laos,45 - 54,284576,2016
139,South-East Asia,Laos,55 - 64,259718,2016
140,South-East Asia,Laos,65 and Over,150520,2016
141,South-East Asia,Laos,Total,1692866,2017
142,South-East Asia,Laos,Under 25,390129,2017
143,South-East Asia,Laos,25 - 34,460872,2017
144,South-East Asia,Laos,35 - 44,335099,2017
145,South-East Asia,Laos,45 - 54,259443,2017
146,South-East Asia,Laos,55 - 64,152666,2017
147,South-East Asia,Laos,65 and Over,94657,2017
148,South-East Asia,Laos,Total,1682304,2018
149,South-East Asia,Laos,Under 25,259332,2018
150,South-East Asia,Laos,25 - 34,480129,2018
151,South-East Asia,Laos,35 - 44,360023,2018
152,South-East Asia,Laos,45 - 54,286079,2018
153,South-East Asia,Laos,55 - 64,172223,2018
154,South-East Asia,Laos,65 and Over,124518,2018
155,South-East Asia,Laos,Total,1856762,2019
156,South-East Asia,Laos,Under 25,280246,2019
157,South-East Asia,Laos,25 - 34,539391,2019
